#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
PARTY_BOARD_PALLET_POKEMON_SEE_YOU	See you around!	¡Nos vemos!	나중에 봅시다!	下次再见！	下次再見！	じゃあね！	Ещё увидимся!	À bientôt !
PARTY_BOARD_HYRULE_EVIL_SHINE	Oh no! The Evil Shine is looking at you menacingly!\nIt won't take no for an answer!	¡Oh no! ¡El Sol Maligno te está mirando de una forma amenazadora!\n¡No tomará un no como respuesta!		哦不！邪恶的太阳正阴险的看着你！\n它不会让你说不的！	哦不！邪惡的太陽正在威脅地看著你！\n它不會讓你拒絕的！	 邪悪なシャインが威嚇するようにあなたを見ています！ \n 無理とは言わせないよ！	О нет! Злой Шайни смотрит на тебя угрожающе!\nОн не примет нет в качестве ответа!	Oh non ! Le Soleil Sombre vous regarde d'un air menaçant ! Il n'acceptera pas un refus !
PARTY_BOARD_WORLD_GHOST_TAKE_YOU	Oh no! You reached the Ghost and now it's gonna take a Shine away from you!	¡Oh no! ¡Alcanzaste al Fantasma y ahora te quitará un Sol!		哦不！你撞上了幽灵，现在它要抢走你的一个太阳！	哦不！你碰到了幽靈，現在它要奪走你的一個太陽！	幽霊にたどり着いたと思ったら、今度はシャインを奪われようとしている！	О нет! Ты добрался до Призрака и теперь он отберёт у тебя Шайни!	Oh non ! Vous avez atteint le Fantôme, et maintenant il va vous voler un Soleil !
PARTY_BOARD_WORLD_GHOST_TAKE_PLAYER	Oh no! The Ghost reached you {Color}{Player}{Color} and now it's gonna take a Shine away from you!	¡Oh no! ¡El Fantasma te ha alcanzado, {Color}{Player}{Color}! ¡Y ahora te quitará un Sol!		哦不！幽灵抓到了你 {Color}{Player}{Color} ，现在它要抢走你的一个太阳！	哦不！幽靈抓到了你 {Color}{Player}{Color} ，現在它要奪走你的一個太陽！	{Color}{Player}{Color}に到達した幽霊は、あなたからシャインを奪おうとしている！	О нет! Призрак добрался до тебя {Color}{Player}{Color} и теперь он отберёт у тебя Шайни!	Oh non ! Le Fantôme vous a atteint {Color}{Player}{Color}, et maintenant il va vous voler un Soleil !
PARTY_BOARD_WORLD_GHOST_SAFE_YOU	Oh no! You reached the Ghost, but you don't have a Shine so you're safe!	¡Oh no! ¡Te encontraste con el Fantasma! Pero no tienes ningún Sol, ¡Así que estás a salvo!		哦不！你撞上了幽灵，但你没有太阳所以无事发生！	哦不！你碰到了幽靈，但你沒有太陽所以你很安全！	幽霊に到達しちゃったけど、シャインを持っていなかったから大丈夫だった！	О нет! Ты добрался до Призрака, но у тебя нет Шайни, так что ты в порядке!	Oh non ! Vous avez atteint le Fantôme, mais vous n'avez pas de Soleil donc tout va bien !
PARTY_BOARD_WORLD_GHOST_SAFE_PLAYER	Oh no! The Ghost reached you {Color}{Player}{Color}, but you don't have a Shine so you're safe!	¡Oh no! ¡El Fantasma te ha alcanzado, {Color}{Player}{Color}! Pero no tienes ningún Sol, ¡Así que estás a salvo!		哦不！幽灵抓到了你 {Color}{Player}{Color} ，但你没有太阳所以无事发生！	哦不！幽靈抓到了你 {Color}{Player}{Color} ，但你沒有太陽所以你很安全！	幽霊が{Color}{Player}{Color}に到達しちゃったけど、シャインを持っていなかったから大丈夫だった！	О нет! Призрак добрался до тебя {Color}{Player}{Color}, но у тебя нет Шайни, так что ты в порядке!	Oh non ! Le Fantôme vous a atteint {Color}{Player}{Color}, mais vous n'avez pas de Soleil donc tout va bien !
#								
#ITEMS								
#								
PARTY_ITEM_DOUBLE_DICE_NAME	Double Dice	Doble Dado	더블 주사위	双骰子	雙重骰子	ダブルサイコロ	Двойная Кость	Dé Double
PARTY_ITEM_DOUBLE_DICE_EFFECT	Lets you roll two dice.	Te permite lanzar dos dados.	주사위 2개를 굴립니다	让你一次掷两个骰子	讓你一次擲兩個骰子。	サイコロを2つ振ることができます。	Позволяет кинуть две кости.	Permet de lancer deux dés.
PARTY_ITEM_TRIPLE_DICE_NAME	Triple Dice	Triple Dado	트리플 주사위	三骰子	三重骰子	トリプルサイコロ	Тройная Кость	Dé Triple
PARTY_ITEM_TRIPLE_DICE_EFFECT	Lets you roll three dice.	Te permite lanzar tres dados.	주사위 3개를 굴립니다.	让你一次掷三个骰子	讓你一次擲三個骰子。	サイコロを3つ振ることができます。	Позволяет кинуть три кости.	Permet de lancer trois dés.
PARTY_ITEM_CLOCK_NAME	Clock	Reloj	시계	时钟	時鐘	時計	Часы	Horloge
PARTY_ITEM_CLOCK_EFFECT	Makes your dice roll slow.	Hace que tu dado gire lentamente.	주사위가 느리게 굴러갑니다.	让你的骰子转的很慢	讓你的骰子轉的很慢。	サイコロの転がる速度が遅くなり、自由に出目を決めることができます。	Замедляет бросок твоей кости.	Ralenti le dé.
PARTY_ITEM_POISON_NAME	Poison	Veneno	독	毒药	毒藥	毒	Яд	Poison
PARTY_ITEM_POISON_EFFECT	Dice only get to roll from 1-3.\nCan be used on the other players and yourself.	El dado solo tendrá números entre 1-3.\nPuede ser usado en otros jugadores y en ti mismo.	주사위 눈금이 1~3만 나옵니다.\n다른 플레이어에게 사용이 가능합니다.	骰子只从1到3选择。\n可以对其他玩家使用。	骰子只能從1到3選擇。\n也可以對其他玩家使用。	指定したプレイヤーのサイコロの出目を1~3にします。\n自分にも使うことができます。	Бросок кости сужается до 1-3.\nМожет быть использовано на других игроках и самом себе.	Le dé ne peut être lancé qu'entre 1 et 3. Peut être utilisé sur les autres joueurs.
PARTY_ITEM_REVERSE_NAME	Reverse	Reversa	리버스	翻转	迴轉	リバース	Инверсия	Plateau Inversé
PARTY_ITEM_REVERSE_EFFECT	Board direction is reversed with this item.\nCan be used on the other players and yourself.	La dirección del tablero es invertida con este objeto.\nPuede ser usado en otros jugadores y en ti mismo.	보드의 방향을 역전시킵니다.\n다른 플레이어에게 사용이 가능합니다	你的地图移动方向会翻转。\n可以对其他玩家使用。	你的移動方向會迴轉。 \n也可以對其他玩家使用。	指定したプレイヤーの移動方向を逆向きにします。\n自分にも使うことができます。	С этим предметом направление доски инвертируется..\nМожет быть использовано на других игроках и самом себе.	La direction du plateau est inversée avec cet objet. Peut être utilisé sur les autres joueurs.
PARTY_ITEM_ICE_NAME	Ice	Hielo	얼음	冰冻	冰	アイス	Лёд	Gel
PARTY_ITEM_ICE_EFFECT	Completely freezes a player.\nDisabling all actions on their turn.\nCan be used on the other players.	Congela completamente a un jugador.\nInhabilitando todas las acciones en su turno.\nPuede ser usado en otros jugadores.	선택한 플레이어를 얼려버립니다.\n얼어버린 플레이어는 한 턴을 낭비하게 됩니다.	完全冻结你的目标玩家。\n这名玩家下回合完全不能行动。	完全凍結您選擇的玩家。\n這名玩家下回合完全不能行動。	選んだプレイヤーを凍らせ1ターン休みにします。	Полностью замораживает игрока.\nОтключает все действия в его ход.\nМожет быть использовано на других игроках.	Gèle complètement un joueur de votre choix. Désactive toutes les actions lors de son tour.
PARTY_ITEM_WARP_NAME	Warp	Portal	워프	传送	傳送	ワープ	Портал	Téléporteur
PARTY_ITEM_WARP_EFFECT	Changes Space with a player chosen at random.	Cambia de lugar con un jugador elegido aleatoriamente.	다른 무작위의 플레이어와 위치를 바꿉니다	交换你和随机一名玩家的位置。	交換你和隨機一名玩家的位置。	ランダムなプレイヤーと場所を入れ替えます。	Меняется местами со случайным игроком.	Échange l'emplacement avec un joueur au hasard.
PARTY_ITEM_SUPER_WARP_NAME	Super Warp	Súper Portal	슈퍼 워프	超级传送	超級傳送	スーパーワープ	Супер Портал	Super Téléporteur
PARTY_ITEM_SUPER_WARP_EFFECT	Changes Space with any player of your choosing.	Cambia de lugar con un jugador de tu elección.	원하는 플레이어와 위치를 바꿉니다.	交换你和你的目标玩家的位置。	交換你和你選擇的玩家的位置。	選んだプレイヤーと場所を入れ替えます。	Меняется местами с любым выбранным вами игроком.	Échange l'emplacement avec un joueur de votre choix.
PARTY_ITEM_CELLPHONE_NAME	Cellphone	Teléfono	휴대전화	手机	手機	携帯電話	Телефон	Téléphone
PARTY_ITEM_CELLPHONE_EFFECT	You can call the shop and get an item directly from the comfort of your Space.	Puedes llamar a la tienda y comprar un objeto directamente desde la comodidad de tu casilla.	상점에 전화를 걸어 물건을 구매할 수 있습니다.	你可以对商店打电话购买一个道具并享受外送服务。	你可以對商店打電話並直接在您舒適的空間內購買商品。	ショップに電話し、アイテムを購入することができます。	Ты можешь позвонить в магазин и получить предмет прямо в удобном для тебя месте.	Vous pouvez appeler la boutique et obtenir un objet directement depuis votre case.
PARTY_ITEM_BLACKHOLE_NAME	Blackhole	Agujero Negro	블랙홀	黑洞	黑洞	ブラックホール	Чёрная Дыра	Trou Noir
PARTY_ITEM_BLACKHOLE_EFFECT	Summons the Blackhole, allowing you to steal Coins or Shines from other players.	Invoca al Agujero Negro, permitiéndote robar Monedas o Soles de otros jugadores.	블랙홀을 소환합니다. 다른 플레이어에게서 코인이나 샤인을 빼얏을 수 있습니다.	召唤黑洞，你可以用黑洞偷走其他玩家的金币或太阳。	召喚黑洞，讓您可以從其他玩家那裡竊取金幣或太陽。	選んだプレイヤーからコインやシャインを盗むことができます。	Вызывает Чёрную Дыру, позволяющую тебе украсть Монеты или Шайни у других игроков.	Invoque le Trou Noir, permettant de voler des Pièces ou des Soleils aux autres joueurs.
PARTY_ITEM_MIRROR_NAME	Mirror	Espejo	거울	镜子	鏡子	ミラー	Зеркало	Miroir
PARTY_ITEM_MIRROR_EFFECT	It teleports you directly on top of the Shine Space.	Te teletransporta directamente a la posición del Sol.	샤인이 있는 칸으로 텔레포트합니다.	它会把你直接传送到太阳的格子。	它會把你直接傳送到太陽的格子。	シャインのあるところに直接テレポートすることができます。	Телепортирует тебя прямо на клетку с Шайни.	Vous téléporte directement jusqu'au Soleil.
PARTY_ITEM_ITEM_BAG_NAME	Item Bag	Bolsa de Objetos	아이템 가방	道具袋	道具袋	アイテムバッグ	Мешок с Вещами	Sac d'Objets
PARTY_ITEM_ITEM_BAG_EFFECT	Gives you 3 random items!	¡Te da 3 objetos aleatoriamente!	3개의 아이템을 무작위로 얻습니다!	随机给你三个道具！	隨機給你三個道具！	アイテムをランダムに3つプレゼントします！	Даёт тебе 3 случайных предмета!	Vous donne 3 objets au hasard !
PARTY_ITEM_STICKY_HAND_NAME	Sticky Hand	Mano Pegajosa				粘着ハンド	Липкая Рука	
PARTY_ITEM_STICKY_HAND_EFFECT	Steals a random item from the player you choose.	Roba un objeto aleatorio a un jugador de tu elección.				選んだプレイヤーからランダムなアイテムを盗むことができます。	Крадёт случайный предмет у выбранного вами игрока.	
PARTY_ITEM_SUPER_STICKY_HAND_NAME	Super Sticky Hand	Súper Mano Pegajosa				スーパー粘着ハンド	Супер Липкая Рука	
PARTY_ITEM_SUPER_STICKY_HAND_EFFECT	Steals an item of your choosing from the player you choose.	Roba un objeto específico a un jugador de tu elección.				選択したプレイヤーから選択したアイテムを盗むことができます。	Крадёт выбранный предмет у выбранного вами игрока.	
PARTY_ITEM_CLOUD_NAME	Cloud	Nube				雲	Облако	
PARTY_ITEM_CLOUD_EFFECT	Moves the Shine to a new location.	Mueve el Sol a una nueva posición.				シャインを別の場所に移動させることができます。	Перемещает Шайни на новое место.	
PARTY_ITEM_MEDAL_NAME	Medal	Medalla				メダル	Медаль	
PARTY_ITEM_MEDAL_EFFECT	Makes a Hidden Chest appear! Gives you double the amount of Coins or slightly better chances of a Shine!	¡Hace aparecer un Cofre Oculto! Te da el doble de Monedas o posibilidades ligeramente mejores de obtener un Sol.				隠し宝箱を出現させます！また、コインの量が 2 倍になり、シャインが出る確率が少し上がります！	Заставляет Спрятанный Сундук появиться! Удваивает число выдаваемых монет или слегка увеличивает шанс получить Шайни!	
PARTY_ITEM_GOT_ITEM	Got Item!	¡Objeto Conseguido!		获得道具！	獲得道具！	アイテムを手に入れた！	Получен Предмет!	
PARTY_ITEM_LOST_ITEM	Lost Item...	¡Objeto Perdido!		失去道具！	失去道具！	アイテムを失くしてしまった…	Потерян Предмет...	
PARTY_ITEM_WHAT_ITEM_USE	What item do you wanna use?	¿Qué objeto quieres usar?	어떤 아이템을 사용하시겠습니까?	你想使用什么道具？	你想用什麼道具？	どのアイテムを使いますか？	Какой предмет ты хочешь использовать?	Quel objet voulez-vous utiliser ?
PARTY_ITEM_WHICH_PLAYER_POISON	Which player to poison?	¿A cuál jugador quieres envenenar?	누구에게 독을 사용하시겠습니까?	你想对谁使用毒药？	你想對誰使用毒藥？	誰を毒状態にしますか？	Какого игрока отравить?	Quel joueur voulez-vous empoisonner ?
PARTY_ITEM_WHICH_PLAYER_REVERSE	Which player to reverse?	¿A cuál jugador quieres invertir?	누구의 방향을 역전시키겠습니까?	你想对谁使用翻转？	你想對誰使用迴轉？	誰をリバース状態にしますか？	Какого игрока инвертировать?	Quel joueur va subir l'inversement ?
PARTY_ITEM_WHICH_PLAYER_FREEZE	Which player to freeze?	¿A cuál jugador quieres congelar?	누구를 얼리시겠습니까?	你想对谁使用冰冻？	你想對誰使用冰？	誰を凍らせますか？	Какого игрока заморозить?	Quel joueur voulez-vous geler ?
PARTY_ITEM_WHICH_PLAYER_SWITCH	Which player to switch places with?	¿Con cuál jugador quieres cambiar de lugar?	누구와 위치를 바꾸시겠습니까?	你想和谁交换位置？	你想和誰交換位置？	誰と入れ替わりますか？	С каким игроком поменяться местами?	Avec quel joueur voulez-vous échanger votre place ?
PARTY_ITEM_WHICH_PLAYER_STEAL	Which player do you wanna steal from?	¿A cuál jugador quieres robar?				どのプレイヤーから盗みますか？	У какого игрока ты хочешь украсть предмет?	
PARTY_ITEM_WHICH_ITEM_STEAL	Which item do you wanna steal?	¿Qué objeto quieres robar?				どのアイテムを盗みますか？	Какой предмет ты хочешь украсть?	
PARTY_ITEM_WHAT_ITEM_DISCARD	What item do you wanna discard?	¿Qué objeto quieres descartar?		你想丢弃什么道具？	你想丟棄甚麼道具？	どのアイテムを捨てますか？	Какой предмет хочешь выбросить?	
PARTY_ITEM_ROLLED_DOUBLES	What!? You rolled doubles!?\nNow that deserves a prize.	¿¡Qué!? ¿¡Tiraste dobles!?\nEso sí que merece un premio.		什么！？你掷出了对子！？\n它值得一些奖励。	什麼！？你擲出了一對！？\n這值得獎勵了。	え！？ ダブルが出たの！？これは賞を受賞するべきだね。	Чего!? Ты выбил двойню!?\nВот это уже заслуживает приза.	
PARTY_ITEM_ROLLED_TRIPLES	What!!?? You rolled triples!!??\nThat's something you don't see everyday, you deserve this!	¿¿¡¡Qué!!?? ¿¿¡¡Tiraste triples!!??\nEso no es algo que se vea todos los días, ¡te mereces esto!		什么！！？？你掷出了豹子！！？？\n这可不是天天都能见到的事情，这是你应得的！	什麼！！？？你擲出了豹子！！？？\n這是你每天都看不到的東西，這是你應得的！	えええ！！？？トリプルが出たの！！？？\nこんなのいつも見られるわけじゃないけど、君なら当然！	Чего!!?? Ты выбил тройню!!??\nТакое не каждый день увидишь, ты заслуживаешь это!	
#								
#CHOOSE MINIGAME								
#								
PARTY_CHOOSE_MINIGAME_4VS	4 vs. minigame	Minijuego 4 vs.		单人小游戏	4 vs.小遊戲	みんなでミニゲーム	4 vs. мини-игра	
PARTY_CHOOSE_MINIGAME_1VS3	1 vs. 3 minigame	Minijuego 1 vs. 3		团队小游戏	1 vs. 3小遊戲	1 vs 3 ミニゲーム	1 vs. 3 мини-игра	
PARTY_CHOOSE_MINIGAME_2VS2	2 vs. 2 minigame	Minijuego 2 vs. 2		双打小游戏	2 vs. 2小遊戲	2 vs 2 ミニゲーム	2 vs. 2 мини-игра	
#								
#LAST 5 TURNS								
#								
PARTY_LAST_FIVE_POPUP	LAST 5 TURNS	ÚLTIMOS 5 TURNOS	라스트 5턴	最后5回合	最後5回合	ラスト5ターン！	ПОСЛЕДНИЕ 5 ХОДОВ	5 DERNIERS TOURS
PARTY_LAST_FIVE_GOOD_PARTY	Good party everyone! It has been super fun so far, but we're nearing the end, only a couple turns left!	¡Qué buena fiesta! Hasta ahora ha sido súper divertido, pero estamos llegando al final, ¡solo quedan unos pocos turnos!		各位玩的还开心吗？目前为止都很有趣，但我们已经接近尾声了，现在只剩下几个回合了！	大家玩得愉快嗎？到目前為止非常有趣，但我們已經接近尾聲了，只剩下幾個回合了！	皆さん、パーティーを楽しんでいますか！楽しかったパーティーも、残り5ターンとなりました！	Хорошей всем вечеринки! Это было довольно весело, но мы близимся к концу, осталось только несколько ходов!	Super fête à tous ! C'était vraiment amusant jusque là, mais nous approchons de la fin, il ne reste plus que quelques tours !
PARTY_LAST_FIVE_LETS_SEE	This is the perfect time to spice things up a little bit, but first let's see how everyone is doing so far...	Este es el momento perfecto para animar un poco las cosas, pero primero veamos cómo le está yendo a cada uno...		现在是时候让这一切变得更加刺激了，但在这之前让我们先看看各位的表现都如何……	是時候讓這一切變得刺激一點了，但首先讓我們看看每個人的表現如何……	ゲームにちょっとした刺激を加えるのにピッタリな時間ですが、その前に皆さんの様子を見てみましょう！	Это идеальное время, чтобы оживить обстановку, но сначала давай посмотрим как у всех идут дела...	C'est le moment parfait pour pimenter un peu les choses, mais avant voyons voir comment tout le monde s'en sort pour l'instant...
PARTY_LAST_FIVE_PLACES	{Color}{Player}{Color} is in {Place} place.	{Color}{Player}{Color} está en el {Place} lugar.		{Color}{Player}{Color} 目前是 {Place} 。	{Color}{Player}{Color} 位於 {Place} 位置。	{Color}{Player}{Color} は {Place} の場所にいます。	{Color}{Player}{Color} на {Place} месте.	{Color}{Player}{Color} est numéro {Place}.
PARTY_LAST_FIVE_TROUBLE	Looks like {Color}{Player}{Color} is having some trouble... let's give them a little bit of help!	Parece que {Color}{Player}{Color} está teniendo algunos problemas... ¡démosle un poco de ayuda!		看起来 {Color}{Player}{Color} 遇到了一些麻烦……让我们给他一些帮助！	看起來 {Color}{Player}{Color} 遇到了一些麻煩……讓我們給他們一點幫助！	{Color}{Player}{Color}が困っているようですね・・・では、私たちが少し助けてあげましょう！	Похоже у {Color}{Player}{Color} некоторые проблемы... давайте поможем ему!	Il semble que {Color}{Player}{Color} a quelques difficultés... aidons le un peu !
PARTY_LAST_FIVE_ALREADY_HERE	Since you're already here, how about a little something extra?	Ya que estás aquí, ¿qué tal un pequeño extra?		既然你在这里了，不如再做些别的吧？	既然你已經來了，來點額外的東西怎麼樣？	ここまで来たからには、何か他のことをしてみませんか？	Раз уж вы здесь, как насчёт чего-нибудь новенького?	Puisque vous êtes là, pourquoi ne pas prendre un petit extra ?
PARTY_LAST_FIVE_HIT_BLOCK	Hit the block to reveal what exciting event is gonna be applied to the whole Board!	¡Golpea el bloque para revelar qué evento emocionante va a ser aplicado en todo el tablero!		跳跃顶砖确定整张地图将要发生的事件！	頂磚塊確定整張地圖將要發生什麼令人興奮的事件！	ブロックを叩くと、マップ全体に大きな変化が起きます！	Задень блок, чтобы узнать, какое захватывающее событие будет применено ко всей доске!	Frappez le bloc pour découvrir quel événement excitant va affecter le plateau !
PARTY_LAST_FIVE_SPACES_RED_GUY	Oh no! The Guy Spaces are gonna take over Red Spaces!\nI hope he has mercy...	¡Oh no! ¡Las casillas de The Guy van a apoderarse de todas las casillas Rojas!\nEspero que tenga piedad...		哦不！Guy格子将会替换红色格子！\n我希望他能友善一些……	不好了！ Guy格子將替換紅色格子！\n我希望他能憐憫……	なんてこった！The Guyマスがマイナスマスを呑み込んでしまった！\n彼に慈悲を…	О нет! Клетки Гая заменяют красные!\nНадеюсь, он пощадит нас...	Oh non ! Les cases The Guy vont remplacer les cases Rouges. Espérons qu'il fasse preuve de pitié...
PARTY_LAST_FIVE_SPACES_RED_CHANCE	Red Spaces are gonna be Chance Time Spaces!?\nAnything could happen now!	¿¡Las casillas Rojas se volverán casillas de Chance Time!?\n¡Podría pasar de todo ahora!		红色格子将变为机会格子！？\n现在一切皆有可能！	紅色格子將成為機會格子！？\n現在任何事情都可能發生！	マイナスマスが全部チャンスマスに！？\n今からなんでも起きてしまいそう！	Красные клетки теперь стали клетками Время Шанса?\nТеперь может случиться что угодно!	Les cases Rouges deviennent des cases Chance Inespérée ?! Tout peut arriver désormais !
PARTY_LAST_FIVE_SPACES_RED_ITEM	Whoa! Red Spaces are now Item Spaces!\nTime to collect items everyone!	¡Wow! ¡Las casillas Rojas ahora son casillas de Objeto!\n¡Es hora de que todos recolecten objetos!		哇！红色格子现在是道具格子了！\n各位现在是收集道具的时间了！	哇！ 紅色格子現在是道具格子！\n大家收集道具的時間到了！	うわっ！マイナスマスが今からアイテムマスに！\nみんなでアイテムを集めまくりましょう！	Ого! Красные клетки теперь стали клетками с предметами!\nВремя всем собрать предметы!	Woah ! Les cases Rouges deviennent des cases Objets ? C'est l'heure d'aller chercher des objets tout le monde !
PARTY_LAST_FIVE_SPACES_RED_BLUE	No more Blue Spaces!?\nThat's gonna be rough on the wallet!	¿¡Ya no hay casillas Azules!?\n¡Eso le caerá pesado a la billetera!		没有蓝色格子了？\n现在钱包会变得吃紧！	沒有藍色格子了！？\n現在錢包會很吃緊！	プラスマスが消えちゃった!?\nお財布の中身に気を付けよう！	Больше никаких Синих клеток!?\nЭто плохо скажется на кошельке!	Plus de cases Bleues ? Ça va faire mal au porte monnaie !
PARTY_LAST_FIVE_SPACES_RED_SURPRISE	All Red Spaces are now Surprise Spaces!\nNow that's gonna be some chaos!	¡Todas las casillas Rojas ahora son casillas Sorpresa!\n¡Ahora sí que habrá caos!		所有红色格子都变成随机格子了！\n现在一切都将变得混乱起来！	所有紅色格子現在都是隨機格子了！\n現在會有些混亂！	マイナスマスが全部ハプニングマスに！\n大波乱の始まりです！	Все Красные клетки теперь стали Сюрприз клетками!\nТеперь настанет какой-то хаос!	Toutes les cases Rouges sont désormais des cases Surprise ! Ça va être le chaos désormais !
PARTY_LAST_FIVE_REMEMBER_DOUBLE	And also...\nRemember that all Spaces give and take double the amount of Coins too!	Y por cierto... \n¡Recuerden que también todas las casillas dan y quitan el doble de Monedas!		最后记得……\n所有格子对金币的变动都是双倍了！	而且……\n請記住，所有格子都會給予和收取雙倍數量的硬幣！	また...\nすべてのマスでコインの受け取りなどが 2 倍になることも覚えておいてください。	И ещё...\nЗапомните, что теперь все клетки дают и забирают двойное количество Монет!	Et aussi... souvenez-vous que toutes les cases donnent ou prennent le double des pièces maintenant !
PARTY_LAST_FIVE_GOOD_LUCK	I wish good luck to everyone and have a great party!	¡Les deseo buena suerte a todos y que tengan una gran fiesta!		祝大家好运，玩的愉快！	祝大家好運，玩得愉快！	皆さんの幸運を祈ります！ 頑張ってください！	Я желаю всем удачи и хорошей вечеринки!	Je vous souhaite bonne chance à tous, et amusez-vous bien !
#								
#RESULTS								
#								
PARTY_RESULTS_GOOD_JOB	Good job everyone!\nThe moment of truth is coming close...\nTo see who is worthy of being the superstar!	¡Todos han hecho un gran trabajo!\nEl momento de la verdad se está acercando...\n¡Para ver quién está a la altura de ser la súper estrella!		各位做得漂亮！\n结算时间就要到了……\n让我们看看谁是那位超级巨星！	大家做得好！\n結算時間即將到來......\n看看誰是那位超級巨星！	みんな、ご苦労様！\n結果発表の瞬間が近づいています...\n誰がスーパースターにふさわしいのか見極めるために！	Хорошая работа!\nМомент истины близко...\nЧтобы узнать, кто достоин быть суперзвездой!	Bien joué à tous ! Le moment tant attendu approhe... pour découvrir qui mérite de devenir une super-star !
PARTY_RESULTS_GIVE_COINS	Let's give the winners of the past minigame their Coins!	¡Démosle a los ganadores del minijuego pasado sus Monedas!		在这之前我们要给予刚刚小游戏的获胜方金币！	在這之前先把金幣送給剛剛小遊戲的獲勝者吧！	前のミニゲームの勝者にコインを与えましょう!	Давай дадим победителям прошлой игры их Монеты!	Donnons aux gagnants du dernier mini-jeu leurs pièces !
PARTY_RESULTS_BUT_FIRST	But first we need to give the bonus Shines!\nThey could change the results of the whole game!	¡Pero primero necesitamos dar los Soles de bonificación!\n¡Podrían cambiar el resultado de todo el juego!		在这之前我们要奖励额外的太阳！\n这当然会改变这次派对最终的结果！	在這之前我們要獎勵太陽！\n這可以改變整個遊戲的最終結果！	しかし、まずボーナスシャインを与える必要があります！\nボーナスシャインはゲーム全体の結果を大きく変えることがあります！	Но в первую очередь нужно дать бонусные Шайни!\nОни могут поменять ход всей игры!	Mais avant, nous devons distribuer les Soleils bonus ! Ils peuvent encore tout changer !
PARTY_RESULTS_THE_FIRST	The first	El primer	첫번째	首先	首先	1位	Первый	Le premier
PARTY_RESULTS_THE_SECOND	The second	El segundo	두번째	其次	其次	2位	Второй	Le deuxième
PARTY_RESULTS_THE_LAST	And the last	Y el último	마지막	最后	最後	そして最後に	И последний	Et le dernier
PARTY_RESULTS_BONUS_GOES	{Order} bonus Shine goes to the one that {Condition}.	{Order} Sol de bonificación va a aquel que {Condition}.	{Order} 보너스 샤인은 {Condition}	{Condition} 的人获得 {Order} 奖励太阳	{Condition} 的人獲得 {Order} 獎勵太陽	{Order} ボーナスシャインは、{Condition}を満たした人に与えられます。	{Order} бонусный Шайни достаётся тому, кто {Condition}	{Order} Soleil bonus revient à celui qui {Condition}
PARTY_RESULTS_GOES_TO	And this goes to...	Y este va para...	이 보너스 샤인의 주인공은...	让我们看看它花落谁家	讓我們看看獎落誰家	そしてこれは...	И это достаётся...	Et ça revient à...
PARTY_RESULTS_BONUS_COINS	got the most Coins	obtuvo la mayor cantidad de Monedas	가장 많은 코인을 얻은 플레이어에게 주어집니다!	获得最多金币	獲得最多金幣	最も多くコインを獲得	получил больше Монет 	a eu le plus de Pièces
PARTY_RESULTS_BONUS_ITEMS	used the most Items	usó más objetos	가장 많은 아이템을 사용한 플레이어에게 주어집니다!	使用最多道具	使用最多道具	最も多く使用したアイテム	использовал больше Предметов	a utilisé le plus d'Objets
PARTY_RESULTS_BONUS_MINIGAMES	won the most Minigames	ganó más minijuegos	미니게임에서 가장 많이 승리한 플레이어에게 주어집니다!	赢得最多小游戏	贏得最多小遊戲	最も多くのミニゲームに勝利した	выиграл больше Мини-игр	a gagné le plus de mini-jeux
PARTY_RESULTS_BONUS_ROLLS	rolled the biggest Numbers on the dice	obtuvo los números más altos en los Dados		用骰子掷出最大的数字	用骰子擲出最大的數字	サイコロで一番大きな数字を出した		a fait les meilleurs scores au dé
PARTY_RESULTS_BONUS_RED_SPACES	landed on the most Red Spaces	cayó más en casillas Rojas	가장 많이 빨간 칸에 착지한 플레이어에게 주어집니다!	最多次停在红色格子	最多次停在紅色格子	最も多く赤いマスに止まった	больше приземлился на Красные клетки	s'est arrêté sur le plus de cases Rouges
PARTY_RESULTS_BONUS_COIN_SPACES	landed on the most Coin Spaces	cayó más en casillas de Monedas	가장 많이 코인 칸에 착지한 플레이어에게 주어집니다!	最多次停在金币格子	最多次停在金幣格子	最も多くコインマスに止まった	больше приземлился на Монетные клетки	s'est arrêté sur le plus de cases Pièce
PARTY_RESULTS_BONUS_ITEM_SPACES	landed on the most Item Spaces	cayó más en casillas de Objetos	가장 많이 아이템 칸에 착지한 플레이어에게 주어집니다!	最多次停在道具格子	最多次停在道具格子	最も多くアイテムマスに止まった	больше приземлился на клетки с Предметами	s'est arrêté sur le plus de cases Objet
PARTY_RESULTS_BONUS_CHANCE_SPACES	landed on the most Chance Time Spaces	cayó más en casillas de Chance Time	가장 많이 찬스타임 칸에 착지한 플레이어에게 주어집니다!	最多次停在机会格子	最多次停在機會格子	最も多くチャンスタイムマスに止まった	больше приземлился на клетки Время Шанса	s'est arrêté sur le plus de cases Chance Inespéré
